0,1
0,2
0,3
0,4
0,5
0,6
0,7
0,8
0,9
0,10
0,11
12,2
12,3
12,4
12,13
12,5
12,6
12,7
12,8
12,9
12,11
12,14
15,2
15,16
15,17
15,18
15,19
15,20
15,14
21,1
21,2
21,19
21,14
22,2
22,23
22,11
22,10
23,2
23,3
23,11
3,2
3,4
3,13
3,5
3,6
3,7
3,11
4,24
4,2
4,13
4,25
4,26
4,27
4,8
4,9
4,28
4,11
13,2
13,25
13,11
13,14
25,2
25,11
25,14
5,2
5,29
5,14
5,11
6,24
6,2
6,29
6,30
6,14
6,11
7,24
7,2
7,14
7,11
16,2
16,31
16,30
16,32
16,33
16,34
16,14
17,2
17,29
17,31
17,30
17,32
17,33
17,34
17,14
18,2
18,29
18,32
18,14
19,2
19,14
20,2
20,29
20,31
20,30
20,32
20,34
20,35
20,14
29,24
29,2
29,36
29,14
26,24
26,2
26,14
27,24
27,2
27,36
27,14
8,24
8,2
8,32
8,33
8,37
8,38
8,35
8,36
8,14
8,11
9,24
9,2
9,37
9,35
9,36
9,14
9,11
28,24
28,2
28,14
31,24
31,2
31,14
30,24
30,2
30,14
32,24
32,2
32,37
32,14
33,24
33,2
33,14
34,24
34,2
34,14
37,24
37,2
37,14
38,24
38,2
38,35
38,14
35,24
35,2
35,14
36,24
36,2
36,14
10,1
11,1
11,14
